Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Therapy waitlist truth,https://allagilejobs-jpg.github.io/SU/content/pinterest/pin-26-therapy-waitlists.png,Autism Resources for Parents,,"6–12 MONTHS — average wait for autism therapy in the US. What to do now: Get on multiple waitlists today, Ask about cancellation lists, You can always say no later. Start with your pediatrician's referral.",https://www.spectrumunlocked.com/?utm_source=pinterest&utm_campaign=therapy-waitlists,,
The first 48 hours,https://allagilejobs-jpg.github.io/SU/content/pinterest/pin-27-first-48-hours.png,Autism Diagnosis & Getting Started,,"Stop the 2am Googling — do these 4 things instead. Inside: Feel it. Don't fix it yet., Make 3 calls, Get on every waitlist. Your child is the same kid they were yesterday. Save & share.",https://www.spectrumunlocked.com/?utm_source=pinterest&utm_campaign=first-48-hours,,
Always ask in writing,https://allagilejobs-jpg.github.io/SU/content/pinterest/pin-28-iep-in-writing.png,IEP Tips & School Advocacy,,"A 4-step rule that protects your child & starts the legal clock. Inside: Email, never just talk, Include the date you sent it, Ask for written confirmation. Pro tip: cc your spouse or advocate. Save & share.",https://www.spectrumunlocked.com/?utm_source=pinterest&utm_campaign=iep-in-writing,,
The grief no one talks about,https://allagilejobs-jpg.github.io/SU/content/pinterest/pin-29-grief-diagnosis.png,Autism Diagnosis & Getting Started,,"For autism parents struggling with the feeling no one warned them about. Inside: It's not loving them less, Grief comes in waves, Not everyone will get it. Your feelings are valid. Asking for help is strength. Save & share.",https://www.spectrumunlocked.com/?utm_source=pinterest&utm_campaign=grief-diagnosis,,
5 apps every autism parent needs,https://allagilejobs-jpg.github.io/SU/content/pinterest/pin-30-autism-apps.png,Autism Resources for Parents,,"Tools that actually help — not just hype. Inside: First Then Visual Schedule, Proloquo2Go or TouchChat, Calm or Breathe Kids. Pair the app with a real routine. Save & share.",https://www.spectrumunlocked.com/?utm_source=pinterest&utm_campaign=autism-apps,,
"""High-functioning"" is NOT a compliment",https://allagilejobs-jpg.github.io/SU/content/pinterest/pin-31-functioning-labels.png,Autism Parenting Real Talk,,"They describe how autism LOOKS to others — not how it actually feels to live with it. Functioning labels harm everyone they're stuck on. Inside: ""High support needs"" kids get silenced, ""Low support needs"" kids get denied help, Say this instead. Save & share to bust this myth.",https://www.spectrumunlocked.com/?utm_source=pinterest&utm_campaign=functioning-labels,,
What TO say to autism parents,https://allagilejobs-jpg.github.io/SU/content/pinterest/pin-32-what-to-say.png,Autism Parenting Real Talk,,"Share this with the people who want to help but don't know how. Inside: Say ""thanks for sharing with me"", Say ""how can I support you?"", Say ""tell me about them"". When in doubt: listen more, advise less. Save & share.",https://www.spectrumunlocked.com/?utm_source=pinterest&utm_campaign=what-to-say,,
Your first week checklist,https://allagilejobs-jpg.github.io/SU/content/pinterest/pin-33-diagnosis-week.png,Autism Diagnosis & Getting Started,,"5 steps that actually help — skip the rest of the internet. Inside: Take a breath, Get on every waitlist NOW, Email your school district. Save & share.",https://www.spectrumunlocked.com/?utm_source=pinterest&utm_campaign=diagnosis-week,,
Autistic kids feel emotions deeply,https://allagilejobs-jpg.github.io/SU/content/pinterest/pin-34-emotions-myth.png,Autism Parenting Real Talk,,"A harmful assumption that still gets repeated by teachers, family, even doctors — and costs kids friendships. They often feel MORE intensely — they just show it differently. Inside: Emotional flooding, A flat face ≠ a flat heart, Delayed processing. Save & share to bust this myth.",https://www.spectrumunlocked.com/?utm_source=pinterest&utm_campaign=emotions-myth,,
You're doing better than you think,https://allagilejobs-jpg.github.io/SU/content/pinterest/pin-35-encouragement.png,Autism Resources for Parents,,"The fact that you're here — searching, learning, advocating — that's love in action. Inside: Your child is lucky to have you, You don't have to be perfect, Asking for help is strength. Save this for the hard days. Save & share.",https://www.spectrumunlocked.com/?utm_source=pinterest&utm_campaign=encouragement,,
